model,accuracy,precision_scam,recall_scam,f1_scam,tn,fp,fn,tp
LinearSVC,0.9916625796959294,0.9926578560939795,0.9948491537895512,0.9937522969496508,670,10,7,1352
Sklearn_LogisticRegression,0.9813634134379597,0.9896219421793921,0.9823399558498896,0.9859675036927622,666,14,24,1335
RandomForest,0.9485041687101521,0.9808282208588958,0.9411331861662987,0.96057078482914,655,25,80,1279
Custom_LogisticRegression,0.9426189308484552,0.9726027397260274,0.9403973509933775,0.9562289562289562,644,36,81,1278
Baseline_MostFrequent,0.6665031878371751,0.6665031878371751,1.0,0.7998822836962919,0,680,0,1359
